delta_f,b,l_f_2_k_4_mae,l_f_2_k_4_time,l_f_2_k_7_mae,l_f_2_k_7_time,l_f_2_k_10_mae,l_f_2_k_10_time,l_f_2_k_14_mae,l_f_2_k_14_time,l_f_3_k_4_mae,l_f_3_k_4_time,l_f_3_k_7_mae,l_f_3_k_7_time,l_f_3_k_10_mae,l_f_3_k_10_time,l_f_3_k_14_mae,l_f_3_k_14_time,l_f_4_k_4_mae,l_f_4_k_4_time,l_f_4_k_7_mae,l_f_4_k_7_time,l_f_4_k_10_mae,l_f_4_k_10_time,l_f_4_k_14_mae,l_f_4_k_14_time,l_f_5_k_4_mae,l_f_5_k_4_time,l_f_5_k_7_mae,l_f_5_k_7_time,l_f_5_k_10_mae,l_f_5_k_10_time,l_f_5_k_14_mae,l_f_5_k_14_time
10,6,10.246,0.318,9.842,0.696,10.367,1.204,10.592,2.103,8.92,0.497,8.271,0.791,9.011,1.409,9.214,2.291,8.716,0.819,8.212,1.082,8.831,1.601,8.956,2.585,8.617,1.582,8.125,1.9,8.738,2.392,8.886,3.388
10,12,10.247,0.371,9.859,0.95,10.578,1.524,10.68,2.733,8.891,0.644,8.369,1.075,9.091,1.846,9.232,3.03,8.746,1.034,8.294,1.46,8.798,2.055,8.903,3.414,8.73,2.123,8.266,2.43,8.801,3.146,8.915,4.436
10,24,10.275,0.434,9.961,1.105,10.528,2.042,10.84,3.591,9.038,0.909,8.331,1.367,9.225,2.467,9.467,3.996,8.928,1.307,8.37,1.899,9.002,2.817,9.084,4.46,8.657,2.64,8.337,3.153,8.852,4.113,9.111,5.876
15,6,10.824,0.315,10.454,0.6,10.986,1.002,11.223,1.901,9.48,0.502,9.05,0.801,9.595,1.196,9.823,2.087,9.27,0.701,8.886,1.003,9.438,1.509,9.56,2.303,9.185,1.404,8.847,1.716,9.296,2.195,9.536,3.09
15,12,10.983,0.387,10.478,0.828,11.191,1.317,11.298,2.429,9.534,0.696,9.189,1.072,9.557,1.592,9.872,2.751,9.326,0.934,9.054,1.291,9.479,1.973,9.741,2.983,9.287,1.865,8.88,2.179,9.435,2.827,9.415,4.035
15,24,10.93,0.48,10.653,0.969,11.064,1.701,11.326,3.292,9.787,0.78,9.397,1.311,9.674,2.109,10.092,3.651,9.431,1.279,8.975,1.757,9.596,2.583,9.686,3.821,9.332,2.459,8.971,2.804,9.464,3.781,9.562,5.275
30,6,11.48,0.298,11.218,0.506,11.69,0.902,11.907,1.709,10.153,0.397,9.786,0.701,10.312,1.106,10.467,1.883,10.022,0.6,9.567,0.907,10.115,1.298,10.288,2.106,9.929,1.282,9.465,1.491,10.032,1.995,10.236,2.682
30,12,11.539,0.384,11.26,0.616,11.818,1.207,11.833,2.17,10.136,0.564,9.925,0.955,10.264,1.421,10.68,2.469,9.908,0.817,9.556,1.161,10.098,1.647,10.256,2.715,9.819,1.64,9.442,1.941,10.073,2.555,10.269,3.485
30,24,11.721,0.475,11.34,0.92,11.835,1.589,12.167,2.82,10.439,0.742,10.098,1.209,10.447,1.891,10.678,3.228,10.159,1.071,9.745,1.489,10.284,2.134,10.396,3.623,9.935,2.265,9.765,2.518,10.186,3.369,10.384,4.52
