Delta_g,Delta_g_value,Delta_t,tau_0,tau_2,tau_4
Delta_g,Delta_g_value,d_g_0,d_g_16,d_g_32,d_g_64,d_g_0,d_g_16,d_g_32,d_g_64,d_g_0,d_g_16,d_g_32,d_g_64
1,delta_g_5,9.041/1.280,7.945/1.260,8.179/1.345,8.427/1.409,7.767/1.249,6.746/1.223,6.991/1.351,7.207/1.406,8.327/1.265,7.390/1.249,7.555/1.376,7.839/1.449
1,delta_g_15,8.768/1.046,7.718/1.007,7.970/1.146,8.288/1.208,7.431/1.050,6.453/1.067,6.681/1.109,6.904/1.293,8.105/1.039,7.063/1.089,7.291/1.116,7.694/1.280
1,delta_g_30,8.923/0.929,7.934/0.997,8.249/1.092,8.434/1.118,7.787/0.955,6.745/0.921,6.867/1.067,7.214/1.105,8.344/0.949,7.303/0.978,7.529/1.045,7.869/1.105
1,delta_g_60,9.232/0.849,8.226/0.806,8.417/0.927,8.752/1.030,7.968/0.817,6.922/0.820,7.196/0.912,7.404/1.093,8.674/0.863,7.610/0.864,7.855/0.998,8.130/1.032
7,delta_g_5,8.774/1.305,7.730/1.358,7.966/1.403,8.270/1.573,7.266/1.300,6.183/1.305,6.304/1.446,6.706/1.585,8.173/1.366,7.018/1.335,7.204/1.424,7.665/1.594
7,delta_g_15,8.542/1.191,7.442/1.113,7.655/1.258,7.986/1.366,6.956/1.134,5.936/1.149,6.165/1.208,6.414/1.340,7.838/1.157,6.893/1.140,7.073/1.293,7.314/1.334
7,delta_g_30,8.835/1.097,7.770/1.003,7.827/1.177,8.271/1.216,7.297/1.086,6.292/1.031,6.393/1.125,6.773/1.275,8.117/1.006,7.067/1.038,7.287/1.161,7.526/1.215
7,delta_g_60,9.033/0.945,7.905/0.904,8.162/1.095,8.563/1.126,7.493/0.979,6.478/0.952,6.607/1.068,6.958/1.142,8.312/0.970,7.398/0.923,7.562/1.094,7.839/1.111
15,delta_g_5,8.747/1.380,7.752/1.341,7.953/1.400,8.231/1.523,7.220/1.349,6.112/1.374,6.321/1.428,6.789/1.564,8.129/1.354,7.096/1.306,7.205/1.459,7.635/1.541
15,delta_g_15,8.583/1.124,7.431/1.133,7.699/1.293,7.940/1.363,6.909/1.148,5.981/1.166,6.104/1.240,6.475/1.357,7.828/1.187,6.885/1.144,7.025/1.224,7.315/1.340
15,delta_g_30,8.451/1.273,7.524/1.223,7.738/1.306,7.999/1.468,7.098/1.267,5.882/1.215,6.092/1.389,6.503/1.417,7.881/1.293,6.854/1.256,7.054/1.332,7.327/1.496
15,delta_g_60,8.722/1.134,7.760/1.128,7.978/1.249,8.260/1.386,7.268/1.133,6.125/1.191,6.392/1.257,6.713/1.383,8.122/1.155,7.076/1.151,7.265/1.239,7.674/1.380
30,delta_g_5,8.600/1.475,7.627/1.496,7.893/1.547,8.104/1.685,7.124/1.433,6.064/1.491,6.221/1.574,6.611/1.695,8.014/1.476,6.914/1.455,7.134/1.580,7.547/1.625
30,delta_g_15,8.494/1.267,7.315/1.290,7.551/1.328,7.851/1.480,6.872/1.288,5.814/1.265,6.039/1.353,6.389/1.459,7.736/1.262,6.719/1.223,6.995/1.348,7.254/1.455
30,delta_g_30,8.788/1.168,7.647/1.145,7.819/1.204,8.182/1.362,7.133/1.174,6.139/1.104,6.397/1.275,6.616/1.334,8.077/1.105,7.095/1.168,7.243/1.242,7.515/1.395
30,delta_g_60,8.957/1.085,7.806/1.064,8.094/1.146,8.404/1.252,7.389/1.000,6.347/1.046,6.502/1.120,6.828/1.211,8.279/1.021,7.232/1.000,7.401/1.108,7.716/1.203
60,delta_g_5,8.631/1.403,7.532/1.488,7.729/1.534,8.025/1.697,7.005/1.400,6.095/1.426,6.221/1.577,6.503/1.693,7.945/1.416,6.974/1.421,7.139/1.581,7.473/1.622
60,delta_g_15,8.313/1.249,7.385/1.244,7.593/1.372,7.840/1.481,6.877/1.249,5.776/1.283,5.912/1.357,6.363/1.452,7.712/1.254,6.601/1.256,6.854/1.376,7.151/1.462
60,delta_g_30,8.675/1.198,7.524/1.154,7.731/1.247,8.001/1.368,7.072/1.143,6.007/1.112,6.295/1.227,6.549/1.361,7.919/1.128,6.963/1.102,7.111/1.294,7.417/1.336
60,delta_g_60,8.867/1.059,7.835/1.024,8.068/1.183,8.395/1.225,7.348/1.006,6.266/1.050,6.419/1.168,6.848/1.252,8.268/1.062,7.133/1.006,7.397/1.170,7.718/1.244
90,delta_g_5,8.543/1.566,7.474/1.590,7.662/1.628,7.939/1.771,6.970/1.518,5.913/1.502,6.128/1.612,6.463/1.714,7.876/1.522,6.824/1.546,7.059/1.643,7.310/1.737
90,delta_g_15,8.249/1.312,7.299/1.363,7.487/1.431,7.724/1.519,6.710/1.335,5.687/1.388,5.840/1.483,6.242/1.532,7.620/1.359,6.539/1.310,6.781/1.490,7.028/1.575
90,delta_g_30,8.451/1.273,7.524/1.223,7.738/1.306,7.999/1.468,7.098/1.267,5.882/1.215,6.092/1.389,6.503/1.417,7.881/1.293,6.854/1.256,7.054/1.332,7.327/1.496
90,delta_g_60,8.722/1.134,7.760/1.128,7.978/1.249,8.260/1.386,7.268/1.133,6.125/1.191,6.392/1.257,6.713/1.383,8.122/1.155,7.076/1.151,7.265/1.239,7.674/1.380
