Delta_Tm,Lm,5min_mae,5min_time,10min_mae,10min_time,15min_mae,15min_time,20min_mae,20min_time
1,1,11.5,0.271,11.83,0.9,12.234,1.8,12.65,2.808
1,2,10.769,0.305,10.96,0.908,11.41,1.78,11.75,2.77
1,3,10.332,0.295,10.58,1.009,10.978,1.93,11.39,2.937
1,4,10.665,0.406,10.863,1.059,11.34,1.98,11.75,2.99
5,1,9.195,0.271,8.893,0.94,9.473,1.78,9.949,2.76
5,2,8.633,0.33,8.257,0.88,8.93,1.792,9.276,2.839
5,3,8.144,0.33,7.787,0.988,8.53,1.943,8.89,2.91
5,4,8.308,0.37,8.02,1.101,8.74,1.963,9.1,2.97
7,1,8.2,0.292,8.98,0.85,9.188,1.76,9.558,2.824
7,2,7.86,0.29,8.13,0.91,8.632,1.81,8.991,2.83
7,3,7.83,0.28,7.39,1.039,8.537,1.861,8.65,2.86
7,4,8.02,0.361,8.002,1.1,8.74,1.971,8.92,3.011
10,1,9.03,0.31,8.75,0.889,9.59,1.766,10.03,2.79
10,2,8.456,0.33,8.334,0.86,8.978,1.845,9.38,2.75
10,3,8.22,0.253,8.184,0.979,8.89,1.92,9.22,2.936
10,4,8.4,0.431,8.52,1.06,9.1,2.05,9.464,3.004
